MONTH	DAY	YEAR	HOUR	WAVE HEIGHT(M)	WAVE PERIOD	WAVE DIRECTION	WIND SPEED(M/S)	WIND DIRECTION
01	9	1979	21	0.59	21.75	205.67	6.36605	190.957
01	10	1979	3	0.77	20.44	205.92	2.04313	23.0512
01	10	1979	6	0.85	20.36	205.5	4.82685	20.8755
01	10	1979	9	0.85	20.25	204.77	5.13791	32.3599
01	10	1979	12	0.77	19.26	205.64	4.71432	39.8366
01	10	1979	15	0.72	19.05	205.11	4.08016	45.4964
01	10	1979	18	0.67	19	204.43	2.72389	172.405
01	10	1979	21	0.66	18.69	203.16	4.53654	201.872
01	11	1979	0	0.69	17.87	204.09	1.92263	210.3
01	11	1979	3	0.74	17.77	203.61	0.774145	331.449
01	11	1979	6	0.77	17.65	202.72	2.35372	347.735
01	11	1979	9	0.83	16.97	201.38	2.62606	353.66
01	11	1979	12	0.93	16.63	202.23	2.38902	10.3692
01	11	1979	15	0.99	16.54	202.45	1.54324	71.0953
01	11	1979	18	1.04	16.38	202.17	5.2362	170.879
01	11	1979	21	1.11	15.76	199.77	5.63454	164.138
01	12	1979	0	1.14	15.5	201.55	3.476	124.924
01	12	1979	3	1.14	15.39	202.83	1.06019	54.2109
01	12	1979	6	1.13	15.28	203.68	2.64373	13.5631
01	12	1979	9	1.12	14.92	198.87	2.48652	16.8316
01	12	1979	12	1.1	14.5	201.02	2.22281	25.8733
01	12	1979	15	1.09	14.36	203.22	1.50602	33.901
01	12	1979	18	1.08	14.28	204.89	3.36027	187.696
01	12	1979	21	1.09	14.2	206.1	4.88857	202.999
01	15	1979	3	1.03	15.56	194.23	3.10976	353.538
01	15	1979	6	1.09	15.46	194	4.88729	32.9746
01	15	1979	9	1.11	15.32	194.01	4.81204	33.5579
01	15	1979	12	1.08	14.75	196.13	4.64812	25.0764
01	15	1979	15	1	14.51	196.04	3.70643	29.0545
01	15	1979	18	0.91	14.42	196.14	2.79516	192.396
01	15	1979	21	0.87	14.28	196.27	5.03289	192.159
01	16	1979	0	0.88	17.6	190.64	3.31254	229.53
01	16	1979	6	0.96	16.64	190.14	3.79527	344.096
01	16	1979	9	1	16.48	189.36	3.83648	12.1886
01	16	1979	12	0.99	15.89	188.7	3.47955	25.9022
01	16	1979	15	0.97	15.59	188.41	3.28927	22.9012
01	16	1979	18	0.95	15.45	187.88	4.36395	202.216
01	16	1979	21	0.97	15.14	187.07	5.0246	200.383
01	17	1979	0	0.95	14.64	187.57	2.51859	220.33
01	17	1979	3	0.94	14.49	187.22	0.523927	246.371
01	17	1979	6	0.96	14.34	186.77	3.35252	2.2223
01	18	1979	3	1.16	16.63	201.04	0.921954	319.399
01	18	1979	6	1.25	16.53	205.73	4.83473	334.124
01	18	1979	9	1.31	16.47	208.9	6.60706	338.327
01	18	1979	12	1.29	16.38	210.77	4.42634	4.92487
01	18	1979	15	1.23	16.2	211.79	2.82066	56.4225
01	18	1979	18	1.18	15.81	202.09	5.38533	171.779
01	18	1979	21	1.2	15.65	206.53	5.52743	185.711
01	19	1979	0	1.21	15.59	209.46	1.68024	171.098
01	19	1979	3	1.24	15.55	211.37	0.725672	281.93
01	19	1979	6	1.28	15.48	212.42	2.6558	346.278
01	19	1979	9	1.33	15.34	212.84	4.10488	357.207
01	19	1979	12	1.35	15.15	212.68	4.14895	18.6969
01	19	1979	15	1.35	14.99	209.32	2.58428	17.1027
01	19	1979	18	1.34	14.98	211.26	3.36412	241.988
01	19	1979	21	1.35	15	212.43	5.97679	230.023
01	20	1979	0	1.37	14.94	212.86	4.45394	247.004
01	20	1979	3	1.38	14.79	212.78	4.59343	293.887
01	20	1979	6	1.38	14.67	212.33	4.22825	306.247
01	20	1979	9	1.39	14.61	211.76	3.42025	321.052
01	20	1979	12	1.39	14.58	211.23	3.26204	322.849
01	20	1979	15	1.38	14.56	210.9	4.13105	313.431
01	20	1979	18	1.37	14.5	210.59	5.52761	266.993
01	20	1979	21	1.38	14.4	210.3	6.42884	254.667
01	21	1979	0	1.4	14.29	210.23	5.97369	261.626
01	21	1979	3	1.4	14.19	210.41	5.14169	276.365
01	21	1979	6	1.37	14.12	210.8	4.25202	306.681
01	21	1979	9	1.35	14.05	211.28	3.64067	322.028
01	24	1979	18	0.94	15.61	196.12	3.29509	169.508
01	24	1979	21	0.97	15.46	195.68	5.23442	148.435
01	25	1979	0	1	15.18	195.19	3.68676	130.82
01	25	1979	3	1.02	14.74	196.12	3.65636	114.392
01	25	1979	6	1.04	14.58	196.1	2.47552	43.6905
01	25	1979	9	1.05	14.44	196.28	4.16472	341.522
01	25	1979	12	1.08	14.23	196.53	3.37433	340.974
01	28	1979	3	1.09	14.51	206.66	4.35821	282.187
01	28	1979	6	1.08	14.47	206.51	4.62779	283.496
01	28	1979	9	1.1	14.34	206.42	5.9412	285.323
01	29	1979	12	1.05	14.44	211.24	2.0142	3.70053
01	29	1979	15	1.04	14.43	211.23	0.638201	35.4332
01	29	1979	18	1.03	14.4	211.22	2.41946	206.248
01	29	1979	21	1.04	14.18	211.18	4.39451	196.662
01	30	1979	21	0.96	14.3	213.73	4.93697	218.008
01	31	1979	0	0.98	14.37	213.33	3.45475	254.556
01	31	1979	3	0.98	14.39	213.02	2.53071	305.511
01	31	1979	6	0.97	14.39	212.81	2.16375	343.073
01	31	1979	9	0.95	14.36	212.58	2.21452	35.6278
01	31	1979	12	0.95	14.28	212.24	3.81923	63.2335
02	1	1979	15	1.07	14.61	213.11	3.82907	10.0773
02	1	1979	18	1.04	14.59	212.77	3.44584	185.496
02	1	1979	21	1.01	14.49	212.63	3.59236	188.807
02	2	1979	0	0.99	17.72	215.4	3.0728	196.253
02	2	1979	12	1.02	16.58	215.76	3.45962	18.0159
02	2	1979	15	1.01	16.55	215.49	2.76134	84.8054
02	2	1979	18	1.01	16.51	215.01	4.49672	159.429
02	2	1979	21	1.02	16.38	214.18	3.79258	182.116
02	3	1979	0	1.05	15.88	215.29	1.25431	144.409
02	3	1979	3	1.09	15.58	215.57	1.01769	112.533
02	3	1979	6	1.13	15.49	215.14	1.68315	7.16722
02	3	1979	9	1.17	15.45	214.29	3.37551	12.1421
02	3	1979	12	1.21	15.41	213.28	2.75334	38.6597
02	3	1979	15	1.23	15.34	212.38	1.4905	78.3883
02	3	1979	18	1.25	15.14	211.79	3.62862	176.049
02	3	1979	21	1.3	14.55	214.11	4.58647	195.946
02	4	1979	0	1.36	14.45	213.56	1.96163	200.283
02	4	1979	3	1.4	14.42	213.19	1.55824	5.89352
02	4	1979	6	1.46	14.37	213.08	1.63527	19.6538
02	4	1979	9	1.51	14.29	213.05	1.62585	19.7723
02	4	1979	12	1.56	19.08	210.68	2.03049	12.8042
02	4	1979	15	1.57	19.01	209.52	1.19038	1.44412
02	4	1979	18	1.56	18.88	208.56	2.83648	208.192
02	4	1979	21	1.6	18.11	210.94	3.44363	196.014
02	5	1979	0	1.63	17.83	210.22	2.09022	179.177
02	5	1979	3	1.64	17.76	209.52	1.70658	100.124
02	5	1979	6	1.63	17.67	208.8	1.79613	126.168
02	5	1979	9	1.64	17.32	207.89	3.09588	341.741
02	5	1979	12	1.68	16.71	209.64	3.15826	349.971
02	5	1979	15	1.7	16.6	209.58	1.46294	344.539
02	5	1979	18	1.69	16.54	209.31	2.60432	213.568
02	5	1979	21	1.68	16.44	208.81	3.47311	239.744
02	6	1979	0	1.65	16.09	208.05	2.9382	259.608
02	6	1979	3	1.64	15.6	209.13	1.30173	301.492
02	6	1979	6	1.65	15.49	209.48	2.67328	344.82
02	6	1979	9	1.68	15.42	209.54	4.14343	347.171
02	6	1979	12	1.69	15.34	209.38	4.13673	349.695
02	6	1979	15	1.69	15.16	209.01	4.09337	321.646
