Date,WeekNumber,WeeklyHs,WeeklyTp,WeeklyWaveDir,WeeklyWindSpd,WeeklyWindDir
1-Jan,1,4.680,10.960,263.901,11.989,247.328
2-Jan,1,4.680,10.960,263.901,11.989,247.328
3-Jan,1,4.680,10.960,263.901,11.989,247.328
4-Jan,1,4.680,10.960,263.901,11.989,247.328
5-Jan,1,4.680,10.960,263.901,11.989,247.328
6-Jan,1,4.680,10.960,263.901,11.989,247.328
7-Jan,1,4.680,10.960,263.901,11.989,247.328
8-Jan,2,4.324,11.019,263.183,11.038,243.365
9-Jan,2,4.324,11.019,263.183,11.038,243.365
10-Jan,2,4.324,11.019,263.183,11.038,243.365
11-Jan,2,4.324,11.019,263.183,11.038,243.365
12-Jan,2,4.324,11.019,263.183,11.038,243.365
13-Jan,2,4.324,11.019,263.183,11.038,243.365
14-Jan,2,4.324,11.019,263.183,11.038,243.365
15-Jan,3,4.228,11.804,273.212,9.789,258.154
16-Jan,3,4.228,11.804,273.212,9.789,258.154
17-Jan,3,4.228,11.804,273.212,9.789,258.154
18-Jan,3,4.228,11.804,273.212,9.789,258.154
19-Jan,3,4.228,11.804,273.212,9.789,258.154
20-Jan,3,4.228,11.804,273.212,9.789,258.154
21-Jan,3,4.228,11.804,273.212,9.789,258.154
22-Jan,4,3.973,10.801,269.668,11.063,248.985
23-Jan,4,3.973,10.801,269.668,11.063,248.985
24-Jan,4,3.973,10.801,269.668,11.063,248.985
25-Jan,4,3.973,10.801,269.668,11.063,248.985
26-Jan,4,3.973,10.801,269.668,11.063,248.985
27-Jan,4,3.973,10.801,269.668,11.063,248.985
28-Jan,4,3.973,10.801,269.668,11.063,248.985
29-Jan,5,4.169,11.145,262.300,10.563,261.364
30-Jan,5,4.169,11.145,262.300,10.563,261.364
31-Jan,5,4.169,11.145,262.300,10.563,261.364
1-Feb,5,4.169,11.145,262.300,10.563,261.364
2-Feb,5,4.169,11.145,262.300,10.563,261.364
3-Feb,5,4.169,11.145,262.300,10.563,261.364
4-Feb,5,4.169,11.145,262.300,10.563,261.364
5-Feb,6,3.748,11.192,260.767,9.458,248.227
6-Feb,6,3.748,11.192,260.767,9.458,248.227
7-Feb,6,3.748,11.192,260.767,9.458,248.227
8-Feb,6,3.748,11.192,260.767,9.458,248.227
9-Feb,6,3.748,11.192,260.767,9.458,248.227
10-Feb,6,3.748,11.192,260.767,9.458,248.227
11-Feb,6,3.748,11.192,260.767,9.458,248.227
12-Feb,7,3.806,11.329,258.387,9.952,250.627
13-Feb,7,3.806,11.329,258.387,9.952,250.627
14-Feb,7,3.806,11.329,258.387,9.952,250.627
15-Feb,7,3.806,11.329,258.387,9.952,250.627
16-Feb,7,3.806,11.329,258.387,9.952,250.627
17-Feb,7,3.806,11.329,258.387,9.952,250.627
18-Feb,7,3.806,11.329,258.387,9.952,250.627
19-Feb,8,4.036,11.236,261.922,10.385,247.354
20-Feb,8,4.036,11.236,261.922,10.385,247.354
21-Feb,8,4.036,11.236,261.922,10.385,247.354
22-Feb,8,4.036,11.236,261.922,10.385,247.354
23-Feb,8,4.036,11.236,261.922,10.385,247.354
24-Feb,8,4.036,11.236,261.922,10.385,247.354
25-Feb,8,4.036,11.236,261.922,10.385,247.354
26-Feb,9,4.779,11.351,265.825,11.729,263.141
27-Feb,9,4.779,11.351,265.825,11.729,263.141
28-Feb,9,4.779,11.351,265.825,11.729,263.141
29-Feb,9,3.765,11.446,258.800,8.111,244.055
1-Mar,9,4.779,11.351,265.825,11.729,263.141
2-Mar,9,4.779,11.351,265.825,11.729,263.141
3-Mar,9,4.779,11.351,265.825,11.729,263.141
4-Mar,9,4.779,11.351,265.825,11.729,263.141
